Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
Log in - exceeded user override,CE-332,Idea,Closed,Major,Jordan Cottee,Jordan Cottee,04/01/2022 08:58,21/11/2022 11:34,Ability to override the exceeded user login message,,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,Village Vets Formby,,,,,,,,,,,,,,,,,,"When reaches limit of user numbers, can't log in and no way to log out extra/ unused logins from there without calling on another member of the team to chuck someone out. Frustrating when working off site then call up and find somebody is logged on on more than two workstations",,21/11/2022 11:34
Patient Transfer (show on previous record),CE-331,Idea,Analysis,Major,Jordan Cottee,Jordan Cottee,04/01/2022 08:56,20/05/2023 09:12,Patients which have been transferred do not show on original client's record.  Display as a deactivated patient on original client.,,Susannah Watkiss,,5eff0aeba62a720b98d89c8a,,,,,,,,Village Vets Formby,,,,,,,,,,,,,,,,,,Unable to see if patient has been transferred from prev. client record,,11/07/2022 11:53
Added function to change status of Diary/Surgeon columns,CE-330,Idea,Closed,Major,Jake Thompson,Jake Thompson,24/12/2021 14:06,21/11/2022 11:32,"“A separate colour change option, such as ‘done’ or ‘finished’ for certain surgeon columns, such as a message column”

The ability to change the status of a whole diary column as well as the individual bookings within it",,Jake Thompson,Yaraslava Tkachova,610a4caa627b5600681ae343,62e0eb6c3780798663d07fcf,,,,Additional functionality,,,Hythe Veterinary Centre,,,,,,,,,,,,,,,,,,"“We use a surgeon column for house messages, and it would be nice to grey a message out without choosing ‘failed to show’.  We find ‘paid’ isn’t bold enough.”",,21/11/2022 11:29
Add option to disable Diary colour changes,CE-329,Idea,Closed,Major,Jake Thompson,Jake Thompson,24/12/2021 14:00,21/11/2022 11:28,"“Within the diary, an option to disable the ‘in-treatment’ colour change. Also, the option to disable automatic colour changes such as treatment, or paid.”

Practice would like an option to disable the automated colour changes of bookings in the diary when the status is changed by a user.",,,,,,,,,Improved user experience,,,Hythe Veterinary Centre,,,,,,,,,,,,,,,,,,"“Our practice set-up finds little use to display if a surgeon is in a consult via the PMS.  The automation of this colour change is very temperamental, leading to confusion. Certain changes such as treated is not always easy to automate – as it is common for a surgeon to add items under several ‘invoices”",,21/11/2022 11:28
Diary Column Lock,CE-328,Idea,Closed,Major,Evelyn Seegers,Evelyn Seegers,22/12/2021 09:24,18/11/2022 11:10,"Site would like to have the option to lock columns together so when scrolling down, they keep the same time for all surgeons",,Evelyn Seegers,Yaraslava Tkachova,5eed3543ab91dc0bc901d55e,62e0eb6c3780798663d07fcf,,,,,,,Brookfield Veterinary Practice,,,,,,,,,,,,,,,,,,having to spend time to scroll through individual surgeons appointments to see who may be available at a specific time,,18/11/2022 11:10
Incomplete Repeat Prescriptions,CE-327,Idea,Closed,Major,Evelyn Seegers,Evelyn Seegers,22/12/2021 09:07,18/11/2022 11:08,Not done repeats or Actions to be automatically moved to the next days diary if incomplete by the end of the day,,Evelyn Seegers,,5eed3543ab91dc0bc901d55e,,,,,,,,Brookfield Veterinary Practice Limited,,,,,,,,,,,,,,,,,,no clear indication in the diary of outstanding work,,18/11/2022 11:08
Add Idexx Sedivue DX to Idexx Interface,CE-325,Idea,Closed,Major,Bruce Wood,Bruce Wood,21/12/2021 13:34,18/11/2022 11:03,"Add Idexx Sedivue DX to Idexx interface, it is a lab machine",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Additional functionality,,,Albany Veterinary Clinic,,,,,Lab,,,,,,,,,,,,,Unable to transfer results automatically onto system which saves time and paper as we currently have to print and save file,,18/11/2022 11:03
Imported field in patient details ,CE-324,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,17/12/2021 14:28,18/11/2022 11:02,"In patient details new field that can be marked to show if patient is imported 
",,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,Shepherds Veterinary Surgeons (Bridgend-M),,,,,,,,,,,,,,,,,,Export dogs pose a risk to pregnant staff,,18/11/2022 11:02
Option to enforce data consent form is completed when adding a new client,CE-323,Idea,Closed,Major,Bruce Wood,Bruce Wood,10/12/2021 10:39,18/11/2022 11:02,When creating a new client to have an option that is set so the client  creation is not completed until GDPR is completed,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,Damory,,,,,,,,,,,,,,,,,,Staff able to create a client and skip the GDPR details,,18/11/2022 11:02
From account screen see what payment was associated to it,CE-322,Idea,Closed,Major,Bruce Wood,Bruce Wood,09/12/2021 09:23,18/11/2022 11:01,When on the account screen able to see what payment is associated with it,,Bruce Wood,Yaraslava Tkachova,5eed35472b9c4c0abf036ff6,62e0eb6c3780798663d07fcf,,,,,,,Hythe,,,,,,,,,,,,,,,,,,Makes it difficult to see what payment is with what treatment,,18/11/2022 11:01
Creating non Standard Supplier Orders in Merlin,CE-321,Idea,Idea Pipeline,Major,Evelyn Seegers,Evelyn Seegers,06/12/2021 12:52,07/12/2022 12:35,"Site is wanting to be able to create orders from Non-Standard suppliers in Merlin (i.e. Verbac or Summit) so that Stock Management & Stock Control can be managed better.

",,Evelyn Seegers,Susannah Watkiss,5eed3543ab91dc0bc901d55e,5eff0aeba62a720b98d89c8a,62e0eb6c3780798663d07fcf,,,Improved user experience,,,Apex Vets,,,,,Stock Control,,,,,,,,,,,,,"Currently, when selecting the supplier and then going to New Order, a message appears advising there are no codes assigned, however, they have been assigned to the Supplier in Code Entry and appear in Stock Adjustment under the correct supplier.",,06/12/2021 12:52
Being able to add more set priority colours ,CE-320,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,02/12/2021 11:56,07/12/2022 13:08,"Being able to add more set priority colours in diary day view 
",,Oscar Waldorf,Yaraslava Tkachova,5eed3546e145af0ab4a603b1,62e0eb6c3780798663d07fcf,,,,,,,VP - Stringer Equine Veterinary Practice,,,,,Diary/Daylists,,,,,,,,,,,,,"easy to miss the type of appointment /equipment required

",,02/12/2021 11:56
When doing Repeat have a default stock center ,CE-319,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,01/12/2021 15:31,18/11/2022 10:41,"When doing a repeat prescription, after confirming label details being able to set a default option so does not ask which stock center to dispense from. ",,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,Apex Vets Ltd.,,,,,,,,,,,,,,,,,,Slows down workflow having to select and click each time,,18/11/2022 10:41
After filling in the specific fields for medication and dosage is it possible to add a drop down list of the vets names and qualifications?,CE-318,Idea,Closed,Major,Bruce Wood,Bruce Wood,30/11/2021 16:22,18/11/2022 10:40,"After filling in the specific fields for medication and dosage is it possible to add a drop down list of the vets names and qualifications?
 

After the script is generated and automatically attaches to the card is it possible to have it automatically name the document as written script including the drug it has been generated for?",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/11/2022 10:40
To save treatments attach document on to patient history ,CE-317,Idea,Closed,Major,Pratima Gurung,Pratima Gurung,30/11/2021 14:14,23/02/2023 14:59,"Documents that are generated by treatments (saved as code entry documents), are to be saved to the patient history automatically with the treatment. The Document will also appear in the Documents area.",,Pratima Gurung,Yaraslava Tkachova,5eed354270fb110aba57b4fa,62e0eb6c3780798663d07fcf,,,,,,,"Blue Cross, PDSA, Kriek & Gibson",,,,,,,,,,,,,,,,,,"The documents once generated are not saved anywhere either for record or to modify,
",,18/11/2022 10:39
Change text colour of patient names and details,CE-316,Idea,Closed,Major,Jake Thompson,Jake Thompson,30/11/2021 11:36,18/11/2022 10:38,"_""Pets to be highlighted in a different colour if they are not a monthly parasite subscription""_

Users would like the ability to change the colour of patient text colour to distinguish between specified patient categories/conditions/statuses etc from Reception, Daylists, Diary etc",,Jake Thompson,,610a4caa627b5600681ae343,,,,,,,,Albany Veterinary Clinic,,,,,,,,,,,,,,,,,,"_""We have no way of knowing if the pet is on the subscription as once clinical history becomes extensive it does not easily show that the entry that the client has taken advantage of the subscription, therefore we will discuss parasite control at the time of appointment of over the phone unnecessarily making the practice look unprofessional. Also, this will create more work when sending out reminders etc.""_

I have advised patient categories can be assigned as well as pop-up notes if necessary but users would ideally like a visual difference.",,18/11/2022 10:38
Notification once blood results have completed,CE-315,Idea,Closed,Major,Bruce Wood,Bruce Wood,24/11/2021 13:04,18/11/2022 10:36,Providing an automated message sent to the Veterinary Surgeon once blood results have completed,,Bruce Wood,Eduardo Soroa Pina,5eed35472b9c4c0abf036ff6,5e9ebb27fd4e200c185ea007,62e0eb6c3780798663d07fcf,,,Improved workflow,,,SFG Senlac Veterinary Centre,,,,,,,,,,,,,,,,,, Clients are not being called as Vet’s are not aware that bloods tests have been run/ prolonged diagnostic period,,18/11/2022 10:36
API data consent idea,CE-314,Idea,Closed,Major,Barend Seegers,Barend Seegers,19/11/2021 10:37,14/04/2023 18:47,"I am working on a project to create and update Client/Patient records via the APIs. When adding/updating the clients Communication Preferences, I need to also pass in 2 additional values to the Client Terms section of the Data Consent tab. Please see Fig 1",,Barend Seegers,Nick Henry,5eed3549b364ce0abe776564,5ed5160d322f9a0c1cf4dab5,,,,,,,Bluecross,,,,,Communications (Email/SMS/Reminders/Internal),,,,,,,,,,,,,"What is the current impact of not having this available?	Users will have to manually tick and Initial each client created or updated via the API.",,14/04/2023 18:47
‘Imported’ tick box in pet details section. ,CE-313,Idea,Closed,Major,Jordan Cottee,Jordan Cottee,19/11/2021 09:31,17/11/2022 14:10,We would like a tick box in the pet details section named ‘Imported’ when this is ticked we would like there to be a flag in the toolbar in the clinical history and also on the toolbar at the bottom (where pet details show) ,,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,PDSA,,,,,,,,,,,,,,,,,,,,17/11/2022 14:10
New Report - Price Changes,CE-311,Idea,Closed,Major,Evelyn Seegers,Evelyn Seegers,18/11/2021 10:22,17/11/2022 13:42, would like a report that shows all the price increases for all products and services,,Evelyn Seegers,,5eed3543ab91dc0bc901d55e,,,,,,,,IVC - Shenick Veterinary Centre,,,,,,,,,,,,,,,,,,not able to see all updates in 1 report - price change report does not include any global price updates made,,17/11/2022 13:42
Appointment SMS or Email from Diary,CE-310,Idea,Idea Pipeline,Major,Steven Freitas,Steven Freitas,16/11/2021 08:30,07/12/2022 13:03,"The Option to send a client a text message or email with appointment details at the time of booking the appointment, without having to free type. 
It does not need to be a reminder that always sends, 
But an option to send if client requests.",,Steven Freitas,Yaraslava Tkachova,5eed2c15a6a7110ab57d358c,62e0eb6c3780798663d07fcf,,,,Improved user experience,,,The Market Town Vet,,,,,Diary/Daylists,,,,,,,,,,,,,Currently having to write appointments on cards or remember appointment time and date and having to free write the text.,,16/11/2021 08:30
Blue Cross require a user permission to allow changes to be made in the Cashing Up screen,CE-308,Idea,Closed,Major,Susannah Watkiss,Susannah Watkiss,11/11/2021 10:13,17/11/2022 13:38,"*Blue Cross require a user permission to allow changes to be made in the Cashing Up screen*
They are relying on this for accounts reconciliation with their accounts team. I have advised monthend reports should be used for that, but they would like to keep using this and be able to go in and make edits retrospectively. ",,Susannah Watkiss,,5eff0aeba62a720b98d89c8a,,,,,Improved user experience,,,Blue Cross,,,,,Finance/Accounts,,,,,,,,,,,,,Cannot change historical entries,,17/11/2022 13:38
"Add a ""Patient History"" folder to Merlin user roles",CE-307,Idea,Closed,Major,Jake Thompson,Jake Thompson,10/11/2021 16:43,17/11/2022 13:38,"""Read-only viewing for out of hours provider to access""

Broad Lane would like the ability to create a Merlin user with restricted access to the system, allowing them only to view patient records and nothing else. Currently, there is no way of limiting access to such an extent using the available actions/folders in Administration > System > Security

In order for a user to view patient records in Merlin, they require access to the ""Treatment"" role, however, this also allows the ability to add treatments and view item prices from the ""Add Treatment"" screen which is not necessary",,Jake Thompson,Yaraslava Tkachova,610a4caa627b5600681ae343,62e0eb6c3780798663d07fcf,,,,,,,Broad Lane Veterinary Surgery,,,,,,,,,,,,,,,,,,"""OOH cannot access treatments we have given a pet""

The OOH user cannot view patient records without having access to the ""Add Treatment"" screen also. This has been removed by the practice as they do not want this function to be accessible",,17/11/2022 13:38
To have postcode catchment areas in-house,CE-306,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,10/11/2021 14:54,07/12/2022 13:39,"To have postcode catchment areas in-house so that site can update on Merlin system easily. 

",,Pratima Gurung,Yaraslava Tkachova,5eed354270fb110aba57b4fa,62e0eb6c3780798663d07fcf,,,,Additional functionality,,,Blue Cross Animal Hospital,,,,,,,,,,,,,,,,,,"Cannot make frequent, prompt and free of charge changes to our catchment areas which is impacting our front of house teams, clients and the wider organisation.",,10/11/2021 14:54
ASN Outstanding Items Update,CE-305,Idea,Closed,Major,Evelyn Seegers,Evelyn Seegers,09/11/2021 17:05,17/11/2022 13:27,"
Requesting to have an additional Column to advise when an update was added against an outstanding item",,Evelyn Seegers,,5eed3543ab91dc0bc901d55e,,,,,Improved user experience,,,Apex Vets,,,,,,,,,,,,,,,,,,"

not able to tell when a product or order was canceled and if it has been listed longer than 7 days or not. Or unable to see when an item was put on back order",,17/11/2022 13:27
Dedicated Emergency/Reserved Appointment Slots,CE-303,Idea,Closed,Major,Christian Thompson,Christian Thompson,09/11/2021 11:01,17/11/2022 13:20,"Users would like to have a way that appointments can be restricted or reserved in the Merlin diary so that certain other users, cannot book appointments in. ",,Christian Thompson,Yaraslava Tkachova,5eed354353e5390aba8f16b6,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,Struggling to manage emergency bookings in the event that a user has incorrectly utilised an emergency slot for a non-emergency appointment.,,17/11/2022 13:20
 card machines auto operate with merlin,CE-302,Idea,Closed,Major,Kaci Penfold,Kaci Penfold,05/11/2021 11:30,17/11/2022 13:18,"The customer would like to have their card machines linked up with merlin, so that when a payment is taken; the payment would automatically be marked off a client file at the time.",,Kaci Penfold,,614af3eb76e34d00696946a4,,,,,Additional functionality,,,Kerr Veterinary Group (Main) ,,,,,,,,,,,,,,,,,,"Currently staff take payments via the card machine and then need to manually mark them off our Merlin practice management system. On occasion when its busy, staff forget which client they have taken this payment from and the only way I can see, to find out who the client is, would be to run a debtors list for the balance (ie client pays £10, if we run a debt run we can search for a client with an outstanding balance of £10) However, some clients have a balance on their account and chose to pay a small amount at a time (ie client has an outstanding balance of £50 and we take a payment of £10) when this happens there is no way to trace who this £10 payment if for if not marked off at the time. The only solution to this at the moment is to wait for our client to advise us next time they are in practice that they paid us at the time which is quite unprofessional. ",,17/11/2022 13:18
Microchip numbers on Patient Labels ,CE-301,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,04/11/2021 15:03,10/05/2024 13:16,Being able to add Microchip numbers on patient labels ,,Oscar Waldorf,Yaraslava Tkachova,5eed3546e145af0ab4a603b1,62e0eb6c3780798663d07fcf,,,,,,,"Broad Lane Veterinary Surgery (Coventry-M), Ystwyth Veterinary Practice, Cobham Park Veterinary Clinic, McGettigans Vets",,,,,,,,,,,,,,,,,,"Have to hand write it in and more chance of human error 
",,04/11/2021 15:03
Data Consent tab to stand out more,CE-300,Idea,Closed,Major,Bruce Wood,Bruce Wood,04/11/2021 14:54,17/11/2022 13:11,"The green colour of the data consent tab does not stand out against the blue of the other tabs, other colours also appear washed out

",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,Broad Lane Veterinary Surgery,,,,,,,,,,,,,,,,,,"Staff are missing the tab as it is not standing out, in Voyager colours for the tab where stronger",,17/11/2022 13:11
Copy and pasting multiple appointments ,CE-299,Idea,Idea Pipeline,Major,Olivia Lowe,Olivia Lowe,03/11/2021 15:19,07/12/2022 13:08,Cobham vets would like to copy and paste multiple appointments at once onto another day in the diary.,,Olivia Lowe,,5f84288c9dbd0900699f2f5d,,,,,Improved workflow,,,Cobham Park Vets,,,,,Diary/Daylists,,,,,,,,,,,,,Customer is having to copy and paste each appointment which is taking up a lot of time. ,,03/11/2021 15:19
Add eligibility expiry date manually ,CE-298,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,01/11/2021 13:10,07/12/2022 13:39,Manual entry of eligibility expiry date,,Pratima Gurung,,5eed354270fb110aba57b4fa,,,,,Additional functionality,,,Blue Cross Animal Hospital,,,,,,,,,,,,,,,,,,Currently all eligibility expiry dates are set automatically a year from the date it is set. There are times when clients are set to not eligible/ placed on hold until an issue has been resolved and the clinical teams would like their eligibility to continue from their existing expiry date rather than setting a new expiry date.,,01/11/2021 13:10
When printing from debtors for it to be recorded under client communication,CE-297,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,29/10/2021 14:38,10/11/2022 13:41,"When printing from debtors either a statement or an invoice for it to be recorded under client communication. 
",,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,GVG Brooks Equine (formerly Stephen Brooks),,,,,,,,,,,,,,,,,,"Not being able to check that it definitely was printed for a client.
",,10/11/2022 13:41
"In standard reports for Data consent - Not Given, be able to see only active clients ",CE-296,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,28/10/2021 12:25,08/12/2022 07:33,"In standard reports for Data consent - Not Given, be able to see only active clients and not the deactivated clients in this report.",,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,VP - Farnham Veterinary Hospital,,,,,,,,,,,,,,,,,,The problem we have is when printing a report of the ‘data consent not given’ or ‘data consent due’ it includes all the deactivated and euthanised one,,28/10/2021 12:25
CE request to add an email signature at the bottom of emails sent from merlin,CE-295,Idea,Idea Pipeline,Major,Kaci Penfold,Kaci Penfold,27/10/2021 11:41,07/12/2022 13:03,CE request to add an email signature at the bottom of emails sent from merlin by the practice.,,Kaci Penfold,,614af3eb76e34d00696946a4,,,,,Additional functionality,,,VP - Hampden Veterinary Hospital (Aylesbury-M),,,,,,,,,,,,,,,,,,Site have to type out manually each time which is time consuming,,27/10/2021 11:41
Message Pop up When Deactivating Patients,CE-294,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,21/10/2021 10:05,07/12/2022 12:28,"When a patient is deactivated, wanting a pop up to advise if there are appointments in the diary for this patient",,Oscar Waldorf,Yaraslava Tkachova,5eed3546e145af0ab4a603b1,62e0eb6c3780798663d07fcf,,,,,,,LVL - Cathcart & Winn Veterinary Hospital Ltd (Farnham-M),,,,,,,,,,,,,,,,,," We are not aware of future appointments the client has booked; this means if they have a booking, they will be sent an appointment reminder.",,21/10/2021 10:05
"Add an option to remove ""Till not configured in Merlin"" message",CE-292,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,15/10/2021 16:30,09/12/2022 09:59,"Broad Lane have recently moved to Merlin and expressed an interest in removing the message reading ""Till not configured for this computer"" from Merlin

The Message displays in the bottom-left of the screen when taking a payment in Merlin.

The practice do not have a till system so the message is not relevant",,Jake Thompson,,610a4caa627b5600681ae343,,,,,,,,Broad Lane Veterinary Surgery,,,,,Finance/Accounts,,,,,,,,,,,,,Message pops up each time a payment is made,,15/10/2021 16:31
please remove client notes from the partial purge,CE-291,Idea,Closed,Major,Susannah Watkiss,Susannah Watkiss,15/10/2021 11:16,18/11/2022 11:13,"Riverside Vets quite rightly use the client notes for financial comments eg 'owner to pay at the time'.
If they went through with the purge then these valuable notes would be lost within the 5 years of the partial purge, yet the client could bring a civil case within 7 years",,Craig Herrington,Susannah Watkiss,5ecfbfd00e595d0c34457af8,5eff0aeba62a720b98d89c8a,62e0eb6c3780798663d07fcf,,,Improved workflow,,,Riverside Eastleigh,,,,,Administration,,,,,,,,,,,,,Risk ICO investigation if they go ahead with the purge and a client in the 5-7y period could have a partial purge and then the practice loses valuable data,,18/11/2022 11:13
proof of purchase/acquisition records for farmers,CE-290,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,14/10/2021 16:28,07/12/2022 13:30,"Proof of purchase/ acquisition records 
a) name of product and batch number 
b) date acquired 
c) quantity acquired
d) name and address of supplier

Ideally would also have withdrawals and instructions on there which we add on when dispensing.",,Oscar Waldorf,Yaraslava Tkachova,5eed3546e145af0ab4a603b1,62e0eb6c3780798663d07fcf,,,,,,,Focus Farm Vets,,,,,,,,,,,,,,,,,,"It would make our service more slick. Some farmers which have moved to us and complained we don't have this available, as their previous vets did. I know in my previous practice we used robovet and all meds were dispensed with a dispatch note. Farmers are then able to put this dispatch note straight with their medicine records, rather than having to write them all in. This would save a lot of time for then. 

",,14/10/2021 16:28
To be able to select background colour of notes,CE-288,Idea,Idea Pipeline,Major,Bruce Wood,Bruce Wood,14/10/2021 11:52,07/12/2022 13:08,When creating notes to be able to change the background colour to allow them to stand out,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,,,,Broad Lane Veterinary Surgery,,,,,,,,,,,,,,,,,,"Now the background colour of the note is the same colour as the row they are on, and the font on them is the same colour as a note on a booking, so they do not stand out at all. Please make them more obvious again!

""Notes"" (right-click on ""operations"" or ""visits"" column - the non-appointment columns - and choose ""new note"". These used to be bright light blue background and really obvious, and we would use them to say ""no more ops"" etc when a list was getting to long, and they would do their job by catching people's eye",,14/10/2021 11:52
To be able to set the diary colour,CE-287,Idea,Idea Pipeline,Major,Bruce Wood,Bruce Wood,14/10/2021 11:25,07/12/2022 13:52,"At present the diary is shown in banding white and grey

Unfortunately, grey is the colour of ""failed to show"" appts so this confuses the picture further...
Can you please therefore make them white/white (no alternating colours) or, if we have to have alternating colours, then cream/white, to resolve this issue?",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved user experience,,,Broad Lane Veterinary Surgery,,,,,,,,,,,,,,,,,,It can be confusing to determine at a glance ,,14/10/2021 11:25
"In wholesale, only make available to view what is in code entry or add a filter to do so",CE-286,Idea,Idea Pipeline,Major,Susannah Watkiss,Susannah Watkiss,14/10/2021 10:57,07/12/2022 12:35,"In wholesale, only make available to view what is in code entry or add a filter to do so
Using the colour coding is resulting in user error as some ignore that green means code available in code entry",,Susannah Watkiss,,5eff0aeba62a720b98d89c8a,,,,,,,,Blue Cross,,,,,,,,,,,,,,,,,,User errors when ordering and stock which is not available and priced in code entry is being ordered,,14/10/2021 10:57
"GDPR > Appointment and Treatment Reminders should be listed under the ""Contractual"" Communication Method",CE-285,Idea,Closed,Major,Andrew Frye,Andrew Frye,13/10/2021 14:57,10/11/2022 13:05,"Nicola (PM) at All Creatures Vets has been in contact with me and she has explained that all Reminders (appointment and treatment) should be included in the Contractual Communication Method, rather than one that is able to opted-out. 

Nicola has spoken to a legal aid who has confirmed that they believe reminders to be outside the remit of opt-out GDPR criteria, so she would like reminders to be made Contractual.

Please can this functionality be reviewed and can we look into this from our point of view. All Creatures have had many problems around Merlin/GDPR (partly because of a mistake made by us) and if reminders had always been contractual, she would not have experienced any of these issues.",,Andrew Frye,Yaraslava Tkachova,5eed2c1402b4400ac4dc0b09,62e0eb6c3780798663d07fcf,,,,,,,All Creatures Vets,,,,,Communications (Email/SMS/Reminders/Internal),,,,,,,,,,,,,"Some clients will be missed when it comes to reminders sent out, so the practice will have lost money/revenue with these missed reminders.
If all reminder types had been contractual, then all clients would have been sent their reminders which would have maximised profits.",,10/11/2022 13:05
User Permission Addition,CE-284,Idea,Analysis,Major,Evelyn Seegers,Evelyn Seegers,08/10/2021 14:01,08/12/2022 05:28,"Currently, regardless of user permissions assigned to users, anyone can go to the Documents tab under the Client in Reception or under the patient and can select a document and delete these by pressing the delete button.

Request to prevent users being able to delete documents in patient files",,Evelyn Seegers,,5eed3543ab91dc0bc901d55e,,,,,,,,Quality Pet Care Ltd,,,,,Administration,,,,,,,,,,,,,Users are able to delete documents from the clients & patients records even though they do not have permission to edit history or documents,,31/10/2022 11:59
To be able to copy more than one unavailable time  slot,CE-283,Idea,Closed,Major,Bruce Wood,Bruce Wood,08/10/2021 09:22,31/10/2022 11:55,To be able to select moer than one unavailable time slot and copy and paste to another day / surgeon in the diary,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Broad Lane Veterinary Surgery,,,,,,,,,,,,,,,,,,Site sets the diary up weeks in advance and having to make unavailable one time slot at a time is time wasting,,31/10/2022 11:55
Archive history to automatically appear in descending order,CE-282,Idea,Analysis,Major,Olivia Lowe,Olivia Lowe,07/10/2021 16:02,08/12/2022 07:19,"When viewing archive data, the oldest history shows.",,Olivia Lowe,,5f84288c9dbd0900699f2f5d,,,,,Improved user experience,,,Senlac Vets,,,,,,,,,,,,,,,,,,"User has to either scroll and scroll, or choose view in descending order each time they need to look at clinical history. ",,31/10/2022 11:54
Option to hide payment methods not being used ,CE-281,Idea,Analysis,Major,Oscar Waldorf,Oscar Waldorf,07/10/2021 15:36,07/12/2022 13:33,"Being able to hide payment methods so they do not show in the payment screen. 
",,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,,,,Oathall Veterinary Group,,,,,,,,,,,,,,,,,,On payment drop down shows all payment methods and can create long list of options. Being able to hide a payment method would be beneficial if a payment method is not being used for a particular time. ,,31/10/2022 11:52
Day note bar to be longer,CE-280,Idea,Analysis,Major,Bruce Wood,Bruce Wood,06/10/2021 15:02,07/12/2022 13:08,The Day note bar in the diary to be longer to allow more text to be shown,,Bruce Wood,Micheal Aderinto,5eed35472b9c4c0abf036ff6,625a831556e5a8006ddb7b2f,,,,Improved user experience,,,Broad Lane Veterinary Surgery,,,,,Diary/Daylists,,,,,,,,,,,,,"Site users this a lot to give info to 3 vets, in Voyager the bar was longer would like the same in Merlin so more info can be seen",,31/10/2022 11:51
Scheduled reports,CE-279,Idea,Closed,Major,Barend Seegers,Barend Seegers,06/10/2021 11:03,08/12/2022 07:35,"	
We would like to be able to create reports using the Report Wizard and then run these reports at a specific date/time",,Barend Seegers,Micheal Aderinto,5eed3549b364ce0abe776564,625a831556e5a8006ddb7b2f,,,,Improved workflow,,,Blue cross,,,,,,,,,,,,,,,,,,Manually have to create and run the reports when required,,08/12/2022 07:35
Add patient subsidy field on standard reports and report wizard,CE-277,Idea,Closed,Major,Pratima Gurung,Pratima Gurung,29/09/2021 15:42,08/12/2022 07:35,"To add another search field into all standard reports and the report wizard for patient subsidy (i.e. A, B or C - not patient category).",,Micheal Aderinto,Pratima Gurung,625a831556e5a8006ddb7b2f,5eed354270fb110aba57b4fa,,,,Additional functionality,,,Blue Cross Animal Hospital,,,,,,,,,,,,,,,,,,"Site can’t search for these patients at the moment

",,08/12/2022 07:35
added supplier functionality in merlin,CE-276,Idea,Analysis,Major,Kaci Penfold,Kaci Penfold,23/09/2021 09:59,07/12/2022 12:35,"
Description of the Request:
Introduce the ability to use Merlins stock control functionality and order creation/check in functionalities for any Supplier.  We are not looking for 2 way communication or the ability for price updates, just the ability to create orders using auto add and check in orders through wholesale.  This was possible in Voyager if I recollect correctly.",,Kaci Penfold,,614af3eb76e34d00696946a4,,,,,,,,Apex Vets Ltd.,,,,,,,,,,,,,,,,,,"We use Virbac dog food and a couple of other suppliers.   Creating and checking in orders through Stock Control is cumbersome compared to processing through Wholesale.


",,31/10/2022 11:45
